content_id,title,artist,status,quality_score,expected_duration_sec,actual_duration_sec,duration_delta_sec,file_size_bytes,file_ext,sha256,resolved_file,warnings,errors
-43391401_167896484,PAGE 18,EXERCICES AUDIO DE GRAMMAIRE,ok,100,295,295.442333,0.4423330000000192,4945528,.ts,ea6cbbffc49ce686118c5a933a046d7bf7d94c9361f5bf71e820231eb9b8bfab,C:\Users\HP Pro Book\Desktop\vk\downloads\0065_EXERCICES AUDIO DE GRAMMAIRE_PAGE 18.ts,,
-43391401_167896359,PAGE 17,EXERCICES AUDIO DE GRAMMAIRE,ok,100,258,257.930822,0.06917800000002217,4319112,.ts,086ba914ee3bf5c59cf6ff2e893f3ae3a618f80299dc030b78f53c94eed4c826,C:\Users\HP Pro Book\Desktop\vk\downloads\0066_EXERCICES AUDIO DE GRAMMAIRE_PAGE 17.ts,,
-43391401_167896266,PAGE 16,EXERCICES AUDIO DE GRAMMAIRE,ok,100,285,285.359156,0.3591559999999845,4779712,.ts,340019aaa37ce57e84d545a0ef6b08dbe5dc332a3467dfee40a3ac92ae36586a,C:\Users\HP Pro Book\Desktop\vk\downloads\0067_EXERCICES AUDIO DE GRAMMAIRE_PAGE 16.ts,,
-43391401_167896163,PAGE 15,EXERCICES AUDIO DE GRAMMAIRE,ok,100,271,271.462133,0.46213299999999435,4548096,.ts,521ef3c5a7d760860215d59f267265904a09f6432825ac00afe7faf1655b2012,C:\Users\HP Pro Book\Desktop\vk\downloads\0068_EXERCICES AUDIO DE GRAMMAIRE_PAGE 15.ts,,
-43391401_167896047,PAGE 14,EXERCICES AUDIO DE GRAMMAIRE,ok,100,306,306.518156,0.5181559999999763,5132400,.ts,7d09033e2f0ddec791bec6c041c8ec6701ac23ba4cff337ae516057b9aa12953,C:\Users\HP Pro Book\Desktop\vk\downloads\0069_EXERCICES AUDIO DE GRAMMAIRE_PAGE 14.ts,,
-43391401_167895909,PAGE 13,EXERCICES AUDIO DE GRAMMAIRE,ok,100,243,243.380744,0.38074399999999287,4078096,.ts,92d2385da40d2696401bc0c9d62bea62301d2f03f37465a183a8bdd5d3ddea54,C:\Users\HP Pro Book\Desktop\vk\downloads\0070_EXERCICES AUDIO DE GRAMMAIRE_PAGE 13.ts,,
-43391401_167895803,PAGE 12,EXERCICES AUDIO DE GRAMMAIRE,ok,100,268,267.987878,0.012121999999976651,4487936,.ts,4d17a79d9cfe229e7b6648106a9ac7934a55788f54403705c2c24984e67268d7,C:\Users\HP Pro Book\Desktop\vk\downloads\0071_EXERCICES AUDIO DE GRAMMAIRE_PAGE 12.ts,,
-43391401_167895684,PAGE 11,EXERCICES AUDIO DE GRAMMAIRE,ok,100,306,306.021833,0.02183300000001509,5120368,.ts,cbd4daa2c4d6a4d29aa927b65ec450917e84c8ee0050fca042f80a95afac71b0,C:\Users\HP Pro Book\Desktop\vk\downloads\0072_EXERCICES AUDIO DE GRAMMAIRE_PAGE 11.ts,,
-43391401_167895559,PAGE 10,EXERCICES AUDIO DE GRAMMAIRE,ok,100,323,323.393111,0.39311099999997623,5412144,.ts,27b0c048096788c52f528645e02b22df988838a3f8a06626ea270f8ede6b48a4,C:\Users\HP Pro Book\Desktop\vk\downloads\0073_EXERCICES AUDIO DE GRAMMAIRE_PAGE 10.ts,,
-43391401_167895421,PAGE 09,EXERCICES AUDIO DE GRAMMAIRE,ok,100,254,253.960244,0.03975600000001123,4255944,.ts,469c11504e1744753f0ca8b2242111e12efc59abffedff6d118a5689e9d2869f,C:\Users\HP Pro Book\Desktop\vk\downloads\0074_EXERCICES AUDIO DE GRAMMAIRE_PAGE 09.ts,,
-43391401_167895304,PAGE 08,EXERCICES AUDIO DE GRAMMAIRE,ok,100,317,317.437244,0.43724400000002106,5312880,.ts,3bf53ed53df517478dfe308cccc784f0166c0d6327da68321aed5b88487596e2,C:\Users\HP Pro Book\Desktop\vk\downloads\0075_EXERCICES AUDIO DE GRAMMAIRE_PAGE 08.ts,,
-43391401_167894638,PAGE 07,EXERCICES AUDIO DE GRAMMAIRE,ok,100,220,219.922989,0.07701099999999883,3683672,.ts,4e1db0ada73dba132460a363f229a3b91452f2a48a5fb7e6d465571dcf10c643,C:\Users\HP Pro Book\Desktop\vk\downloads\0076_EXERCICES AUDIO DE GRAMMAIRE_PAGE 07.ts,,
-43391401_167894511,PAGE 06,EXERCICES AUDIO DE GRAMMAIRE,ok,100,263,263.390367,0.3903670000000261,4409352,.ts,d80bc99c5cc698ae150aeeed58aefd8fbdd82dfc5b4a18124d78056e86a2fbd9,C:\Users\HP Pro Book\Desktop\vk\downloads\0077_EXERCICES AUDIO DE GRAMMAIRE_PAGE 06.ts,,
